date,temperature,uncertainty,month,year
1793-06-01,13.146,1.91,6,1793
1793-07-01,14.336,2.864,7,1793
1793-08-01,13.16,1.746,8,1793
1793-09-01,12.002,2.325,9,1793
1793-10-01,8.392999999999999,1.661,10,1793
1793-11-01,5.666,3.635,11,1793
1793-12-01,2.037,2.261,12,1793
1794-01-01,3.71,3.869,1,1794
1794-02-01,3.605,5.138,2,1794
1794-03-01,5.696000000000001,1.805,3,1794
1794-04-01,9.367,1.219,4,1794
1794-05-01,12.376,1.063,5,1794
1794-06-01,11.994000000000002,1.159,6,1794
1794-07-01,12.874,1.283,7,1794
1794-08-01,13.484000000000002,0.989,8,1794
1794-09-01,11.896,1.57,9,1794
1794-10-01,9.108,1.29,10,1794
1794-11-01,5.284,2.087,11,1794
1794-12-01,2.918,2.276,12,1794
1795-01-01,2.7310000000000003,2.506,1,1795
1795-02-01,4.39,3.3360000000000003,2,1795
1795-03-01,5.709,1.959,3,1795
1795-04-01,8.918,1.88,4,1795
1795-05-01,11.029000000000002,2.444,5,1795
1795-06-01,13.293,0.987,6,1795
1795-07-01,14.295,2.165,7,1795
1795-08-01,13.14,1.135,8,1795
1795-09-01,11.133,1.3969999999999998,9,1795
1795-10-01,7.786,2.202,10,1795
1795-11-01,5.207000000000001,2.269,11,1795
1795-12-01,2.573,2.24,12,1795
1796-01-01,2.8440000000000003,2.096,1,1796
1796-02-01,2.736,2.019,2,1796
1796-03-01,3.477,2.044,3,1796
1796-04-01,7.773,1.16,4,1796
1796-05-01,11.273,0.955,5,1796
1796-06-01,14.216,2.923,6,1796
1796-07-01,14.314,0.964,7,1796
1796-08-01,14.722,2.777,8,1796
1796-09-01,12.012,1.919,9,1796
1796-10-01,8.924,1.283,10,1796
1796-11-01,5.702000000000001,1.456,11,1796
1796-12-01,1.259,3.452,12,1796
1797-01-01,4.396,2.397,1,1797
1797-02-01,4.957,2.564,2,1797
1797-03-01,4.056,2.948,3,1797
1797-04-01,6.6,3.3110000000000004,4,1797
1797-05-01,10.417,2.432,5,1797
1797-06-01,13.852,1.014,6,1797
1797-07-01,14.107,1.6130000000000002,7,1797
1797-08-01,14.04,1.713,8,1797
1797-09-01,12.459,1.7719999999999998,9,1797
1797-10-01,9.191,1.332,10,1797
1797-11-01,4.777,1.727,11,1797
1797-12-01,3.275,1.725,12,1797
1798-01-01,2.6790000000000003,1.967,1,1798
1798-02-01,3.213,2.0340000000000003,2,1798
1798-03-01,7.007999999999999,2.537,3,1798
1798-04-01,8.083,1.85,4,1798
1798-05-01,11.768999999999998,2.029,5,1798
1798-06-01,13.246,0.7929999999999999,6,1798
1798-07-01,14.951,1.281,7,1798
1798-08-01,14.754,2.047,8,1798
1798-09-01,11.627,1.6869999999999998,9,1798
1798-10-01,8.655,1.024,10,1798
1798-11-01,6.031000000000001,2.629,11,1798
1798-12-01,2.027,2.962,12,1798
1799-01-01,1.923,2.229,1,1799
1799-02-01,2.0780000000000003,2.891,2,1799
1799-03-01,3.986,1.5619999999999998,3,1799
1799-04-01,8.786,2.533,4,1799
1799-05-01,11.353,1.545,5,1799
1799-06-01,13.68,0.873,6,1799
1799-07-01,14.869000000000002,1.308,7,1799
1799-08-01,14.086,1.083,8,1799
1799-09-01,12.311,1.378,9,1799
1799-10-01,9.606,1.369,10,1799
1799-11-01,5.904,1.894,11,1799
1799-12-01,3.487,2.196,12,1799
1800-01-01,2.815,1.844,1,1800
1800-02-01,3.634,2.6,2,1800
1800-03-01,4.452,2.613,3,1800
1800-04-01,9.125,2.168,4,1800
1800-05-01,11.097,1.725,5,1800
1800-06-01,13.606,1.169,6,1800
1800-07-01,13.763,0.933,7,1800
1800-08-01,13.619000000000002,1.4169999999999998,8,1800
1800-09-01,10.795,1.62,9,1800
1800-10-01,9.469,1.643,10,1800
1800-11-01,5.572,1.264,11,1800
1800-12-01,3.864,1.628,12,1800
1801-01-01,2.6870000000000003,1.922,1,1801
1801-02-01,3.149,2.045,2,1801
1801-03-01,6.455,1.336,3,1801
1801-04-01,7.404,1.619,4,1801
1801-05-01,12.123,1.541,5,1801
1801-06-01,12.536,0.877,6,1801
1801-07-01,14.675999999999998,1.56,7,1801
1801-08-01,13.187,1.223,8,1801
1801-09-01,11.462,1.384,9,1801
1801-10-01,9.099,1.267,10,1801
1801-11-01,5.72,1.681,11,1801
1801-12-01,4.577999999999999,2.525,12,1801
1802-01-01,3.74,1.905,1,1802
1802-02-01,2.8280000000000003,2.053,2,1802
1802-03-01,5.2010000000000005,2.7060000000000004,3,1802
1802-04-01,7.622999999999998,1.464,4,1802
1802-05-01,10.457,1.82,5,1802
1802-06-01,14.470999999999998,1.253,6,1802
1802-07-01,14.628,1.155,7,1802
1802-08-01,14.039,1.586,8,1802
1802-09-01,11.787999999999998,2.141,9,1802
1802-10-01,9.747,1.612,10,1802
1802-11-01,5.535,2.146,11,1802
1802-12-01,2.881,2.347,12,1802
1803-01-01,0.6019999999999999,2.026,1,1803
1803-02-01,1.443,2.887,2,1803
1803-03-01,4.875,2.061,3,1803
1803-04-01,9.291,1.914,4,1803
1803-05-01,11.795,0.898,5,1803
1803-06-01,13.821,0.7659999999999999,6,1803
1803-07-01,15.106,0.944,7,1803
1803-08-01,15.366,1.252,8,1803
1803-09-01,12.33,1.259,9,1803
1803-10-01,9.119,1.479,10,1803
1803-11-01,5.961,1.843,11,1803
1803-12-01,2.327,2.269,12,1803
1804-01-01,2.4450000000000003,2.6830000000000003,1,1804
1804-02-01,1.939,2.293,2,1804
1804-03-01,4.425,2.186,3,1804
1804-04-01,10.057,1.117,4,1804
